"","area","con","time","mld","bio"
"1",10.0474591994462,72.7007958439318,2018-06-30,23.8490134934283,1.74207093763252
"2",3.59516214123909,87.7790416015157,2018-07-01,23.8812683429093,0.753644796889349
"3",7.62806709887768,89.3986070930146,2018-07-02,23.9151760457897,1.63086810365125
"4",6.27626986780017,88.3133625558434,2018-07-03,23.9506213600858,1.32753143937178
"5",4.17091011772783,77.2649895876267,2018-07-04,23.987489043814,0.773033599622794
"6",3.92166165411963,92.9468816570461,2018-07-05,24.0256638549906,0.875750395476238
"7",6.94842702373162,74.8600672726792,2018-07-06,24.0650305516321,1.2517659419627
"8",9.7643402969534,72.4380200066576,2018-07-07,24.1054738917547,1.70500301500773
"9",15.3949602284616,71.5755808549,2018-07-08,24.1468786333749,2.6607523333317
"10",18.0885647400084,72.860064468686,2018-07-09,24.1891295345089,3.18796760771013
"11",13.2839420455513,73.1764890938823,2018-07-10,24.2321113531732,2.35553627683407
"12",7.63802629962787,70.2380918457521,2018-07-11,24.275708847384,1.3023441816815
"13",3.26693843714044,73.8929191033286,2018-07-12,24.3198067751579,0.587088933610062
"14",3.17997785068842,77.0044630062646,2018-07-13,24.364289894511,0.596614425470978
"15",3.52849071212728,71.9689734018686,2018-07-14,24.4090429634598,0.619847762962835
"16",3.1530957252624,74.9863757877814,2018-07-15,24.4539507400207,0.578187306210485
"17",3.69155619663159,79.8723430225344,2018-07-16,24.4988979822099,0.722357951567678
"18",2.8630149041911,77.4447551083692,2018-07-17,24.5437694480439,0.544197926133649
"19",2.87630103430307,71.1685059684551,2018-07-18,24.5887266661459,0.503336268972092
"20",6.54521375256257,72.3279646481885,2018-07-19,24.6340548825373,1.16618105763157
"21",8.35790384619129,71.9078987170113,2018-07-20,24.6798244313315,1.48325572877709
"22",7.68934020733963,71.0882803488035,2018-07-21,24.726105646642,1.35158326372672
"23",6.16964439290008,73.1333017697149,2018-07-22,24.772968862582,1.11777237129406
"24",7.5580533098263,86.7517182702233,2018-07-23,24.8204844132652,1.62741490623187
"25",10.6174354355015,87.2988131943808,2018-07-24,24.8687226328048,2.30505582022747
"26",13.8043753430473,84.0441413954871,2018-07-25,24.9177538553143,2.89090017552114
"27",13.0005001007394,84.9895115472781,2018-07-26,24.9676484149072,2.75869083703622
"28",10.8520904408331,83.004764898847,2018-07-27,25.0184766456968,2.25360236970724
"29",9.91789260595112,86.5134924747941,2018-07-28,25.0703088817965,2.1511115420502
"30",10.5219314875957,88.4994704537072,2018-07-29,25.1232154573198,2.33943705506339
"31",9.49995197193155,85.2362155467414,2018-07-30,25.1772667063801,2.03870387837446
"32",10.2893230899,88.0795667162749,2018-07-31,25.2325329630908,2.2867717758113
"33",6.39824585020094,88.9896794520134,2018-08-01,25.2890845615653,1.43990445269554
"34",7.91708288114005,92.651187317549,2018-08-02,25.3469918359171,1.85927061509235
"35",9.72352965911037,94.7944823366985,2018-08-03,25.4063251202596,2.34179488943539
"36",7.80507150185717,96.0623892693682,2018-08-04,25.4671547487061,1.90946058211805
"37",4.92804296397298,95.077838599582,2018-08-05,25.5295510553701,1.19618117535253
"38",7.99753661352509,88.2916674927791,2018-08-06,25.5935843743651,1.80720354172263
"39",12.1809692884365,79.3552410861517,2018-08-07,25.6593250398044,2.48029131091147
"40",17.9984142186381,81.8164365602854,2018-08-08,25.7268433858014,3.78844778185429
"41",19.5030774498136,92.5875230751975,2018-08-09,25.7962097464697,4.65812899236863
"42",14.4470911975792,100.13973971356,2018-08-10,25.8674944559225,3.74232272813038
"43",8.90477039014992,111.542179744679,2018-08-11,25.9407678482734,2.57658622066126
"44",8.13328336450205,98.1492346415733,2018-08-12,26.0161002576356,2.07680164128874
"45",9.45191181647215,91.6102574877357,2018-08-13,26.0935620181228,2.25942085667557
"46",12.8729069489876,100.300732308066,2018-08-14,26.1732234638482,3.37938713948188
"47",13.2555194535007,109.040163230037,2018-08-15,26.2551549289253,3.79487809806668
"48",13.1038125693362,112.927603475569,2018-08-16,26.3394267474675,3.8976613538136
"49",14.6256051847614,114.633740794604,2018-08-17,26.4261092535882,4.43056932669668
"50",12.5135558932331,111.573499135757,2018-08-18,26.5152727814009,3.70201258379637
"51",12.1391815839591,109.045030048454,2018-08-19,26.606987665019,3.52201330815149
"52",12.3992421236949,109.092978069986,2018-08-20,26.7013242385558,3.61180869086584
"53",13.224445043072,125.801725692984,2018-08-21,26.7983528361248,4.45832942903418
"54",16.135305567819,123.931858656819,2018-08-22,26.8981437918395,5.37876373831364
"55",15.3056864176637,119.03444262462,2018-08-23,27.0007674398132,4.91928021978245
"56",15.0626417971309,121.481641657749,2018-08-24,27.1062941141593,4.96000308691515
"57",15.5497201484067,124.190928424464,2018-08-25,27.2147941489914,5.25554192364278
"58",22.5294513123552,126.299444816011,2018-08-26,27.3263378784227,7.77559246679431
"59",23.4839097961151,137.360413405569,2018-08-27,27.4409956365667,8.85180539549627
"60",22.2290589529965,133.476062999245,2018-08-28,27.5588377575369,8.17683744217248
"61",22.9249587086592,139.365101238694,2018-08-29,27.6799345754466,8.8435707788411
"62",24.4938542669675,141.86763912155,2018-08-30,27.8043564244093,9.66169487990506
"63",24.8665129727578,130.79973047792,2018-08-31,27.9321736385383,9.08503219612138
"64",22.1636434111504,123.939194012314,2018-09-01,28.0634565519472,7.70887464221463
"65",19.0693587062186,129.382771888822,2018-09-02,28.1976277990051,6.95704981444165
"66",16.9261961622213,129.824009252378,2018-09-03,28.3340632858089,6.22620256868883
"67",9.7499673283988,117.169504213598,2018-09-04,28.4727632540638,3.25272516551595
"68",9.52055256081177,111.091471263371,2018-09-05,28.6137279454748,3.02633720605281
"69",11.813261532414,115.517086650936,2018-09-06,28.756957601747,3.92427093138273
"70",16.3062385687717,116.003017223336,2018-09-07,28.9024524645855,5.46710950608192
"71",17.8277401572247,125.046010953324,2018-09-08,29.0502127756953,6.47612846660351
"72",19.0717121298897,115.668397946149,2018-09-09,29.2002387767817,6.44155628743515
"73",20.3052237013281,110.227218953077,2018-09-10,29.3525307095495,6.56964919488965
"74",16.3794914272508,114.999019124726,2018-09-11,29.507088815704,5.55803033865789
"75",13.9193798397404,111.803038925782,2018-09-12,29.6639133369502,4.61638411812177
"76",21.8591832713522,108.475413326239,2018-09-13,29.8230045149933,7.07158293584583
"77",27.8501390051814,112.889380961155,2018-09-14,29.9843625915382,9.42703847824194
"78",23.7637995170615,109.241236896862,2018-09-15,30.14798780829,7.82637799830533
"79",18.9611879658949,110.244324536922,2018-09-16,30.313880406954,6.33670248935611
"80",19.3323333901576,104.971597133342,2018-09-17,30.482040629235,6.18586045488626
"81",16.7515538933856,101.946439377919,2018-09-18,30.6524687168383,5.23470990111118
"82",13.2477567829337,111.971495319927,2018-09-19,30.8251649114689,4.57251599112181
"83",10.9464129498871,109.095462057705,2018-09-20,31.0001294548319,3.70204779333891
"84",9.63175841883633,106.813669080325,2018-09-21,31.1773625886324,3.20753783929709
"85",7.28766101088389,104.02324920942,2018-09-22,31.3568645545754,2.37712055882168
"86",5.54710303758695,98.194113713124,2018-09-23,31.5386355943661,1.7178869825856
"87",9.14578993092739,101.309311500247,2018-09-24,31.7226759497095,2.93927621732664
"88",6.85838264224136,84.250747827145,2018-09-25,31.9089858623107,1.84377735868482
"89",8.36557437687829,86.2152395424928,2018-09-26,32.0975655738748,2.31500481564049
"90",10.8767581115642,89.134813923815,2018-09-27,32.2884153261069,3.13035479589334
"91",10.7123281919255,91.8203396314794,2018-09-28,32.4815353607121,3.19491504201593
"92",12.4848990822718,87.4143225579431,2018-09-29,32.6769259193955,3.56622570468009
"93",10.0049649495706,85.8075547145132,2018-09-30,32.874587243862,2.82228850028317
"94",19.0162503173163,85.8752228726405,2018-10-01,33.0745195758169,5.40115085391392
"95",13.3597625638379,81.8941237669609,2018-10-02,33.2767231569652,3.64075985591483
"96",10.2279936241125,80.7826034439732,2018-10-03,33.481198229012,2.76636375747157
"97",8.03927777486074,83.4996511207057,2018-10-04,33.6879450336624,2.2613938954608
"98",10.9862668899711,89.2365647733913,2018-10-05,33.8969638126215,3.32317940970102
"99",6.06054867520567,89.5652705401864,2018-10-06,34.1082548075942,1.85144614772986
"100",7.91322448596027,97.8741469389,2018-10-07,34.3218182602859,2.65822515408967
"101",7.41146282670673,94.7781347955596,2018-10-08,34.5376544124014,2.42607896268721
"102",6.19685472732896,95.4200035216032,2018-10-09,34.755763505646,2.05512185050502
"103",7.85773614767376,91.5013182784437,2018-10-10,34.9761457817246,2.51476115457538
"104",10.5880687889166,88.7067384872344,2018-10-11,35.1988014823424,3.30598776424492
"105",16.1450524247295,87.2210610551819,2018-10-12,35.4237308492044,4.9883294067382
"106",20.6215039429301,80.2825142030512,2018-10-13,35.6508698487941,5.90216615054519
"107",21.9986010891627,82.8735270434885,2018-10-14,35.8801569849869,6.54131738422559
"108",27.6140602485111,82.9816015985372,2018-10-15,36.1115963055764,8.27482404109184
"109",24.0172324475881,85.7231798902738,2018-10-16,36.3451918583558,7.48286999274397
"110",22.187154168273,82.3641431140875,2018-10-17,36.5809476911188,6.6848972764795
"111",19.0539945582345,79.3653238918588,2018-10-18,36.8188678516586,5.56784658076906
"112",12.7135280886383,80.6248490488422,2018-10-19,37.0589563877688,3.79864043189284
"113",9.90383233073249,83.9395662691957,2018-10-20,37.3012173472428,3.10093744653577
"114",11.2439016704602,88.8440678354083,2018-10-21,37.545654777874,3.75063806242139
"115",13.8430367625014,84.753776268592,2018-10-22,37.7922727274558,4.43397703967185
"116",12.3798574424894,88.3215720377301,2018-10-23,38.0410752437817,4.15944339145952
"117",11.6901408196565,92.6282188493206,2018-10-24,38.2920663746451,4.14640632986613
"118",10.7884446855668,87.744415138402,2018-10-25,38.5452501678395,3.64879270886771
"119",10.1921327080683,85.4228589030162,2018-10-26,38.8006306711583,3.37814243208348
"120",8.42469822029189,90.7339305239815,2018-10-27,39.0582119323949,2.98563308866184
"121",13.0350671979549,100.166056045026,2018-10-28,39.3179979993427,5.13363804406768
"122",13.5959791613861,98.7656728131828,2018-10-29,39.5799929197952,5.31486489373603
"123",12.8621025662305,93.467678312322,2018-10-30,39.8442007415459,4.79003341579211
"124",16.0823969475051,92.8014149120777,2018-10-31,40.1106255123881,5.98638728453243
"125",4.54416441365708,94.7958806014817,2018-11-01,40.3792712801153,1.73941006438977
"126",5.64208302647998,110.67247211216,2018-11-02,40.6501420925209,2.5382894911643
"127",5.93910895626383,125.617711264405,2018-11-03,40.9232419973984,3.05310823692862
"128",6.46722055210765,113.193643996568,2018-11-04,41.1985750425412,3.01593452082602
"129",3.16952522697257,118.244119005773,2018-11-05,41.4761452757427,1.55443350832689
"130",6.58058068815578,104.048696542477,2018-11-06,41.7559567447964,2.85903387874089
"131",9.89073456546153,111.788276712696,2018-11-07,42.0380134974957,4.64800935591233
"132",8.07400059499848,114.120090706073,2018-11-08,42.322319581634,3.8996025664386
"133",7.71183642720015,118.081619411755,2018-11-09,42.6088790450048,3.88007587972224
"134",8.30698026723814,112.699965930765,2018-11-10,42.8976959354015,4.01606682072497
"135",16.6374734029708,121.819411687971,2018-11-11,43.1887743006176,8.75335921075728
